Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-11-13,Arizona Coyotes,1,Nashville Predators,4,,17159,2:29,
2021-11-13,Pittsburgh Penguins,3,Ottawa Senators,6,,14661,2:22,
2021-11-13,Minnesota Wild,4,Seattle Kraken,2,,17151,2:26,
2021-11-13,Florida Panthers,2,Tampa Bay Lightning,3,OT,19092,2:40,
2021-11-13,Vancouver Canucks,4,Vegas Golden Knights,7,,18264,2:36,
2021-11-13,Los Angeles Kings,2,Winnipeg Jets,3,OT,13776,2:17,
2021-11-14,Vancouver Canucks,1,Anaheim Ducks,5,,11892,2:21,
2021-11-14,Montreal Canadiens,2,Boston Bruins,5,,17850,2:29,
2021-11-14,New Jersey Devils,3,New York Rangers,4,SO,16130,2:53,
2021-11-14,Calgary Flames,4,Ottawa Senators,0,,10244,2:27,
2021-11-14,Edmonton Oilers,5,St. Louis Blues,4,,18096,2:32,
2021-11-14,Pittsburgh Penguins,1,Washington Capitals,6,,18573,2:21,
2021-11-15,Detroit Red Wings,3,Columbus Blue Jackets,5,,15293,2:23,
2021-11-15,New York Islanders,1,Tampa Bay Lightning,4,,19092,2:35,
2021-11-16,Washington Capitals,2,Anaheim Ducks,3,OT,13456,2:30,
2021-11-16,Detroit Red Wings,2,Dallas Stars,5,,17764,2:24,
2021-11-16,New York Islanders,1,Florida Panthers,6,,14003,2:24,
2021-11-16,San Jose Sharks,4,Minnesota Wild,1,,15367,2:23,
2021-11-16,Montreal Canadiens,2,New York Rangers,3,,15255,2:26,
2021-11-16,Calgary Flames,1,Philadelphia Flyers,2,OT,16278,2:41,
2021-11-16,Buffalo Sabres,2,Pittsburgh Penguins,1,,16366,2:30,
2021-11-16,Arizona Coyotes,3,St. Louis Blues,2,,16738,2:26,
2021-11-16,Nashville Predators,0,Toronto Maple Leafs,3,,18949,2:27,
2021-11-16,Carolina Hurricanes,4,Vegas Golden Knights,2,,17737,2:34,
2021-11-16,Edmonton Oilers,2,Winnipeg Jets,5,,13473,2:28,
2021-11-17,Washington Capitals,2,Los Angeles Kings,0,,14694,2:31,
2021-11-17,Chicago Blackhawks,4,Seattle Kraken,2,,17151,2:22,
2021-11-17,Colorado Avalanche,4,Vancouver Canucks,2,,18361,2:34,
2021-11-18,Carolina Hurricanes,2,Anaheim Ducks,1,,12379,2:27,
2021-11-18,Columbus Blue Jackets,5,Arizona Coyotes,4,SO,7865,2:39,
2021-11-18,Calgary Flames,5,Buffalo Sabres,0,,7753,2:16,
2021-11-18,Winnipeg Jets,1,Edmonton Oilers,2,SO,15273,2:42,
2021-11-18,New Jersey Devils,1,Florida Panthers,4,,12157,2:22,
2021-11-18,Dallas Stars,2,Minnesota Wild,7,,17088,2:32,
2021-11-18,Pittsburgh Penguins,6,Montreal Canadiens,0,,20712,2:12,
2021-11-18,Tampa Bay Lightning,4,Philadelphia Flyers,3,SO,18243,2:36,
2021-11-18,San Jose Sharks,1,St. Louis Blues,4,,16953,2:27,
2021-11-18,New York Rangers,1,Toronto Maple Leafs,2,,19029,2:18,
2021-11-18,Detroit Red Wings,2,Vegas Golden Knights,5,,18002,2:20,
2021-11-19,Colorado Avalanche,7,Seattle Kraken,3,,17151,2:35,
2021-11-19,Winnipeg Jets,2,Vancouver Canucks,3,,18628,2:22,
2021-11-20,Detroit Red Wings,1,Arizona Coyotes,2,OT,12906,2:20,
2021-11-20,St. Louis Blues,1,Dallas Stars,4,,18532,2:30,
2021-11-20,Chicago Blackhawks,2,Edmonton Oilers,5,,18347,2:21,
2021-11-20,Minnesota Wild,4,Florida Panthers,5,,13854,2:32,
2021-11-20,Carolina Hurricanes,5,Los Angeles Kings,4,,15744,2:18,
2021-11-20,Nashville Predators,3,Montreal Canadiens,6,,20522,2:43,
2021-11-20,Calgary Flames,5,New York Islanders,2,,17255,2:24,
2021-11-20,Boston Bruins,5,Philadelphia Flyers,2,,19644,2:32,
2021-11-20,Washington Capitals,4,San Jose Sharks,0,,16527,2:25,
2021-11-20,New Jersey Devils,5,Tampa Bay Lightning,3,,19092,2:37,
2021-11-20,Pittsburgh Penguins,2,Toronto Maple Leafs,0,,19531,2:17,
2021-11-20,Columbus Blue Jackets,2,Vegas Golden Knights,3,,18313,2:35,
2021-11-21,Calgary Flames,4,Boston Bruins,0,,17850,2:28,
2021-11-21,Arizona Coyotes,2,Los Angeles Kings,1,OT,13474,2:24,
2021-11-21,Toronto Maple Leafs,3,New York Islanders,0,,17255,2:19,
2021-11-21,Buffalo Sabres,4,New York Rangers,5,,17256,2:21,
2021-11-21,Washington Capitals,2,Seattle Kraken,5,,17151,2:36,
2021-11-21,Minnesota Wild,4,Tampa Bay Lightning,5,SO,19092,2:51,
2021-11-21,Chicago Blackhawks,1,Vancouver Canucks,0,,18830,2:21,
2021-11-22,Columbus Blue Jackets,7,Buffalo Sabres,4,,7978,2:22,
2021-11-22,Ottawa Senators,5,Colorado Avalanche,7,,16706,2:36,
2021-11-22,Anaheim Ducks,2,Nashville Predators,3,,17159,2:32,
2021-11-22,Carolina Hurricanes,1,San Jose Sharks,2,OT,10970,2:20,
2021-11-22,Vegas Golden Knights,2,St. Louis Blues,5,,18096,2:26,
2021-11-22,Pittsburgh Penguins,3,Winnipeg Jets,1,,13570,2:19,
2021-11-23,Chicago Blackhawks,2,Calgary Flames,5,,15464,2:20,
2021-11-23,Edmonton Oilers,1,Dallas Stars,4,,18532,2:31,
2021-11-23,Philadelphia Flyers,0,Tampa Bay Lightning,4,,19092,2:30,
2021-11-24,Edmonton Oilers,5,Arizona Coyotes,3,,12845,2:32,
2021-11-24,Boston Bruins,5,Buffalo Sabres,1,,9416,2:23,
2021-11-24,Winnipeg Jets,0,Columbus Blue Jackets,3,,15733,2:27,
2021-11-24,Anaheim Ducks,2,Colorado Avalanche,5,,16343,2:36,
2021-11-24,St. Louis Blues,2,Detroit Red Wings,4,,18591,2:24,
2021-11-24,Philadelphia Flyers,1,Florida Panthers,2,OT,15545,2:31,
2021-11-24,Toronto Maple Leafs,6,Los Angeles Kings,2,,15166,2:21,
2021-11-24,Minnesota Wild,3,New Jersey Devils,2,SO,14763,2:32,
2021-11-24,Vegas Golden Knights,5,Nashville Predators,2,,17174,2:37,
2021-11-24,New York Rangers,4,New York Islanders,1,,17255,2:30,
2021-11-24,Vancouver Canucks,1,Pittsburgh Penguins,4,,17590,2:24,
